,COD_ID,DIST,ODI,TI,CM,TUC,A1,A2,A3,A4,A5,A6,IDUC,SITCONT,DAT_IMO,DESCR,TIP_INST,UN_CR,UAR,GRU_TEN
0,2,401,6,40,999,125,02,07,01,10,00,00,265,AT1,30/10/2006, ,RD_AER_URB,1_1000,125-01,MT
1,3,401,6,40,999,125,02,07,01,10,00,00,265,AT1,30/10/2006, ,RD_AER_URB,1_1000,125-01,MT
2,1,401,6,40,999,125,02,07,01,10,00,00,265,AT1,30/10/2006, ,RD_AER_URB,1_1000,125-01,MT
3,7,401,6,40,999,125,02,07,01,07,00,00,384,AT1,25/02/2016, ,RD_AER_URB,1_1001,125-01,MT
4,14,401,6,40,999,125,02,07,01,07,00,00,384,AT1,25/02/2016, ,RD_AER_URB,1_1001,125-01,MT
5,15,401,6,40,999,125,02,07,01,07,00,00,384,AT1,25/02/2016, ,RD_AER_URB,1_1001,125-01,MT
6,10,401,6,40,999,125,02,07,01,07,00,00,265,AT1,04/10/2018, ,RD_AER_URB,1_1002,125-01,MT
7,11,401,6,40,999,125,02,07,01,07,00,00,265,AT1,04/10/2018, ,RD_AER_URB,1_1002,125-01,MT
8,12,401,6,40,999,125,02,07,01,07,00,00,265,AT1,04/10/2018, ,RD_AER_URB,1_1002,125-01,MT
9,8,401,6,40,999,125,02,07,01,07,00,00,265,AT1,04/10/2018, ,RD_AER_URB,1_1002,125-01,MT
