,COD_ID,SUB,DIST,PAC,TIP_UNID,ODI,TI,CM,TUC,A1,A2,A3,A4,A5,A6,IDUC,SITCONT,DAT_IMO,DESCR,TIP_INST,UC_UG,UAR,GRU_TEN
0,UCTC_2,TAP2,401,68061,42,7,93,999,575,01,13,40,26,07,01,61,AT1,06/10/2001, ,RD_AER_URB,5008,575-03,MT
1,UCTC_1,TAP2,401,68061,42,7,93,999,575,01,13,40,26,07,01,61,AT1,06/10/2001, ,RD_AER_URB,5008,575-03,MT
2,UCTC_216,TAP2,401,12361,42,7,93,999,575,01,13,40,30,07,01,490,AT1,30/04/2020, ,RD_AER_URB,5607,575-03,MT
3,UCTC_215,TAP2,401,12361,42,7,93,999,575,01,13,40,30,07,01,490,AT1,30/04/2020, ,RD_AER_URB,5607,575-03,MT
4,UCTC_214,TAP2,401,12361,42,7,93,999,575,01,13,40,30,07,01,490,AT1,30/04/2020, ,RD_AER_URB,5607,575-03,MT
5,UCTC_206,TAP2,401,69311,42,7,93,999,575,01,13,45,32,07,01,396,AT1,31/08/2016, ,RD_AER_URB,6498,575-03,MT
6,UCTC_205,TAP2,401,69311,42,7,93,999,575,01,13,45,32,07,01,396,AT1,31/08/2016, ,RD_AER_URB,6498,575-03,MT
7,UCTC_204,TAP2,401,69311,42,7,93,999,575,01,13,45,32,07,01,396,AT1,31/08/2016, ,RD_AER_URB,6498,575-03,MT
8,UCTC_210,TAP2,401,1261,42,7,93,999,575,01,13,45,36,07,01,476,AT1,31/12/2018, ,RD_AER_URB,6834,575-03,MT
9,UCTC_209,TAP2,401,1261,42,7,93,999,575,01,13,45,36,07,01,476,AT1,31/12/2018, ,RD_AER_URB,6834,575-03,MT
