,UC_ID,UNI_TR_AT,UNI_TR_MT,TIPO_LAMP,POT_LAMP,PERDA_REAT,PERDA_RELE,PERDA_OUTR,CONTROLE,COD_ID,DIST,MUN,CONJ,SUB,CTMT,PN_CON,CLAS_SUB,FAS_CON,GRU_TEN,TEN_FORN,GRU_TAR,SIT_ATIV,PAC,TIP_CC,CAR_INST,ENE_01,ENE_02,ENE_03,ENE_04,ENE_05,ENE_06,ENE_07,ENE_08,ENE_09,ENE_10,ENE_11,ENE_12,DIC,FIC,LIV,SEMRED,DAT_CON,DESCR,ARE_LOC
0,4335,1_TAP2_2,2_519,7,400.0,0.0,0.0,0.0,1,3962,401,4309803,12722,TAP2,2_TAP2_1,2416,IP,CN,BT,15,B4A,AT,BT24162,OUT_IP_1_Dia_util,1.2,478.0,455.0,540.0,552.0,595.0,588.0,597.0,499.0,448.0,429.0,376.0,383.0,12.47,5.0,0,0,21/06/2017, ,UB
1,7033,1_TAP2_2,1_154,9,250.0,0.0,0.0,0.0,1,2379,401,4320909,12722,TAP2,1_TAP2_1,1734,IP,CN,BT,15,B4A,AT,BT17342,OUT_IP_1_Dia_util,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,81.0,82.0,2.03,2.0,0,0,29/11/2021, ,UB
2,7033,1_TAP2_2,1_136,9,250.0,0.0,0.0,0.0,1,4509,401,4320909,12722,TAP2,2_TAP2_1,8687,IP,CN,BT,15,B4A,AT,BT86871,OUT_IP_1_Dia_util,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,82.0,1.68,1.0,0,0,09/12/2021, ,UB
3,7033,1_TAP2_2,1_170,9,250.0,0.0,0.0,0.0,1,4510,401,4320909,12722,TAP2,2_TAP2_1,8649,IP,CN,BT,15,B4A,AT,BT86491,OUT_IP_1_Dia_util,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,92.0,81.0,82.0,4.36,2.0,0,0,28/10/2021, ,UB
4,7033,1_TAP2_2,1_170,9,250.0,0.0,0.0,0.0,1,4511,401,4320909,12722,TAP2,2_TAP2_1,2737,IP,CN,BT,15,B4A,AT,BT27371,OUT_IP_1_Dia_util,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,92.0,81.0,82.0,4.36,2.0,0,0,28/10/2021, ,UB
5,7033,1_TAP2_2,1_64,9,250.0,0.0,0.0,0.0,1,4512,401,4320909,12722,TAP2,1_TAP2_1,6473,IP,CN,BT,15,B4A,AT,BT64731,OUT_IP_1_Dia_util,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,81.0,82.0,2.76,3.0,0,0,18/11/2021, ,UB
6,7033,1_TAP2_2,1_64,9,250.0,0.0,0.0,0.0,1,4513,401,4320909,12722,TAP2,1_TAP2_1,1964,IP,CN,BT,15,B4A,AT,BT19641,OUT_IP_1_Dia_util,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,81.0,82.0,2.76,3.0,0,0,18/11/2021, ,UB
7,7033,1_TAP2_2,1_131,9,250.0,0.0,0.0,0.0,1,4514,401,4320909,12722,TAP2,1_TAP2_1,2613,IP,CN,BT,15,B4A,AT,BT26131,OUT_IP_1_Dia_util,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,82.0,2.43,3.0,0,0,08/12/2021, ,UB
8,7033,1_TAP2_2,1_18,9,250.0,0.0,0.0,0.0,1,4515,401,4320909,12722,TAP2,1_TAP2_1,1643,IP,CN,BT,15,B4A,AT,BT16431,OUT_IP_1_Dia_util,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,82.0,2.03,2.0,0,0,24/12/2021, ,UB
9,7033,1_TAP2_2,1_18,1,34.0,0.0,0.0,0.0,1,4516,401,4320909,12722,TAP2,1_TAP2_1,1643,IP,CN,BT,15,B4A,AT,BT16431,OUT_IP_1_Dia_util,0.034,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,2.03,2.0,0,0,24/12/2021, ,UB
