,COD_ID,DIST,TIP_PN,POS,ESTR,MAT,ESF,ALT,CONJ,MUN,ODI,TI,CM,TUC,A1,A2,A3,A4,A5,A6,SITCONT,DESCR,ARE_LOC,UAR,TIP_INST
0,8691,401,POS,PD,CI,CO,6,10,12722,4320909,6,40,999,255,01,01,01,10,14,00,AT1, ,UB,255-01,RD_AER_URB
1,2414,401,POS,PD,CI,CO,6,10,12722,4309803,6,40,999,255,01,01,01,10,14,00,AT1, ,UB,255-01,RD_AER_URB
2,2415,401,POS,PD,CI,CO,6,10,12722,4309803,6,40,999,255,01,01,01,10,14,00,AT1, ,UB,255-01,RD_AER_URB
3,2416,401,POS,PD,CI,CO,6,10,12722,4309803,6,40,999,255,01,01,01,10,14,00,AT1, ,UB,255-01,RD_AER_URB
4,2417,401,POS,PD,CI,CO,6,10,12722,4309803,6,40,999,255,01,01,01,10,14,00,AT1, ,UB,255-01,RD_AER_URB
5,2418,401,POS,PD,CI,CO,6,10,12722,4309803,6,40,999,255,01,01,01,10,14,00,AT1, ,UB,255-01,RD_AER_URB
6,2433,401,POS,PD,CI,CO,11,13,12722,4309803,6,40,999,255,01,01,01,12,20,00,AT1, ,UB,255-01,RD_AER_URB
7,3002,401,PSE,PD,CI,CO,6,12,12722,4309803,6,40,999,255,01,01,01,11,14,00,AT1, ,UB,255-01,RD_AER_URB
8,3004,401,POS,PD,CI,CO,6,12,12722,4309803,6,40,999,255,01,01,01,11,14,00,AT1, ,UB,255-01,RD_AER_URB
9,1734,401,POS,PD,CI,CO,6,12,12722,4320909,6,40,999,255,01,01,01,11,14,00,AT1, ,UB,255-01,RD_AER_URB
